Correlativo,Remitente,Departamento de Recepción,Departamento de Destino,Descripción,Peso (kg),Estado,Clasificación
01568,Andrés García,Escuintla,Izabal,Comida,3.3,R,Bolsa
01569,Andrés García,Guatemala,Izabal,Comida,6.8,E,Bolsa
01570,Diego Hernández,Izabal,Guatemala,Electrónicos,8.2,E,Paquete Mediano
01571,María López,Izabal,Izabal,Artículos de decoración,4.6,R,Sobre
01572,María Rodríguez,Alta Verapaz,Guatemala,Libros,4.4,E,Bolsa
01573,Juan Ruiz,Sacatepéquez,Peten,Artículos de decoración,6.5,T,Paquete Grande
01574,Luisa Ruiz,Escuintla,Huehuetenango,Libros,8.3,R,Paquete Mediano
01575,María Hernández,Suchitepéquez,Sacatepéquez,Libros,4.8,R,Bolsa
01576,Javier Hernández,Alta Verapaz,Sacatepéquez,Ropa,5.4,T,Sobre
01577,Andrés López,Huehuetenango,Guatemala,Comida,6.1,E,Paquete Mediano
01578,Javier Ruiz,Peten,Alta Verapaz,Comida,7.7,R,Paquete Mediano
01579,Sofía Méndez,Guatemala,Suchitepéquez,Herramientas,3.1,R,Paquete Mediano
01580,Javier Morales,Chimaltenango,Peten,Ropa,9.8,T,Sobre
01581,Juan Rodríguez,Suchitepéquez,Izabal,Electrodomésticos,5.5,R,Sobre
01582,Diego González,Sacatepéquez,Huehuetenango,Comida,7.1,E,Paquete Mediano
01583,Carolina García,Sacatepéquez,Guatemala,Herramientas,7.1,T,Paquete Grande
01584,María García,Huehuetenango,Alta Verapaz,Electrónicos,2.1,R,Paquete Mediano
01585,Luisa García,Chimaltenango,Suchitepéquez,Ropa,2.7,T,Paquete Grande
01586,Ana Hernández,Alta Verapaz,Chimaltenango,Ropa,4.0,R,Bolsa
01587,Sofía García,Quetzaltenango,Huehuetenango,Artículos de decoración,1.0,T,Paquete Mediano
01588,Carolina Hernández,Chimaltenango,Chimaltenango,Libros,5.0,E,Sobre
01589,Javier Rodríguez,Huehuetenango,Escuintla,Libros,6.9,R,Sobre
01590,Luisa Morales,Peten,Alta Verapaz,Electrodomésticos,0.9,T,Paquete Mediano
01591,Carlos González,Suchitepéquez,Alta Verapaz,Electrónicos,10.0,T,Bolsa
01592,Sofía Morales,Sacatepéquez,Escuintla,Electrónicos,8.7,T,Paquete Grande
01593,Carlos Hernández,Izabal,Peten,Herramientas,3.1,T,Paquete Grande
01594,Carolina Rodríguez,Suchitepéquez,Izabal,Juguetes,6.7,E,Sobre
01595,Andrés Rodríguez,Quetzaltenango,Huehuetenango,Electrodomésticos,6.3,E,Bolsa
01596,Javier Ramírez,Sacatepéquez,Peten,Electrónicos,3.6,E,Sobre
01597,Sofía Ruiz,Guatemala,Escuintla,Libros,0.7,E,Bolsa
01598,Carlos Rodríguez,Sacatepéquez,Chimaltenango,Herramientas,9.5,T,Sobre
01599,Diego García,Alta Verapaz,Huehuetenango,Ropa,8.7,E,Sobre
01600,Sofía Morales,Suchitepéquez,Guatemala,Juguetes,4.9,R,Bolsa
01601,Carlos López,Huehuetenango,Quetzaltenango,Comida,3.5,E,Paquete Mediano
01602,Carolina Rodríguez,Guatemala,Peten,Artículos de decoración,3.0,E,Sobre
01603,Andrés Rodríguez,Peten,Quetzaltenango,Juguetes,4.2,E,Paquete Grande
01604,Carolina Méndez,Suchitepéquez,Guatemala,Comida,9.5,R,Paquete Grande
01605,Juan Rodríguez,Peten,Chimaltenango,Artículos de decoración,2.2,T,Bolsa
01606,Ana López,Izabal,Huehuetenango,Ropa,5.0,E,Paquete Mediano
01607,Ana García,Huehuetenango,Suchitepéquez,Electrónicos,1.5,E,Sobre
01608,Andrés Morales,Escuintla,Escuintla,Libros,6.0,T,Paquete Grande
01609,Diego García,Chimaltenango,Peten,Electrónicos,0.4,E,Sobre
01610,Ana García,Quetzaltenango,Suchitepéquez,Herramientas,8.0,E,Paquete Grande
01611,Ana Rodríguez,Quetzaltenango,Alta Verapaz,Ropa,8.1,T,Sobre
01612,Carlos Hernández,Guatemala,Escuintla,Juguetes,6.8,R,Sobre
01613,Andrés López,Chimaltenango,Huehuetenango,Electrónicos,1.9,E,Paquete Mediano
01614,Andrés Méndez,Suchitepéquez,Peten,Comida,2.9,E,Bolsa
01615,Sofía González,Izabal,Chimaltenango,Electrónicos,9.3,E,Paquete Mediano
01616,Ana García,Suchitepéquez,Peten,Juguetes,2.8,E,Sobre
01617,Sofía Rodríguez,Guatemala,Chimaltenango,Libros,1.2,T,Paquete Mediano
01618,Luisa Morales,Chimaltenango,Huehuetenango,Artículos de decoración,4.8,E,Bolsa
01619,Andrés López,Escuintla,Quetzaltenango,Artículos de decoración,9.5,T,Bolsa
01620,Carolina Morales,Izabal,Suchitepéquez,Electrodomésticos,0.6,E,Paquete Mediano
01621,Javier Morales,Huehuetenango,Escuintla,Electrónicos,6.2,R,Bolsa
01622,Diego Méndez,Peten,Guatemala,Libros,1.6,T,Paquete Mediano
01623,Diego Ramírez,Alta Verapaz,Sacatepéquez,Libros,6.6,E,Paquete Grande
01624,Ana González,Huehuetenango,Sacatepéquez,Electrodomésticos,2.1,R,Paquete Mediano
01625,Carolina González,Chimaltenango,Peten,Electrónicos,3.9,T,Sobre
01626,Luisa Castillo,Huehuetenango,Izabal,Artículos de decoración,5.0,T,Sobre
01627,Carolina Méndez,Izabal,Quetzaltenango,Libros,8.4,E,Paquete Grande
01628,Andrés García,Chimaltenango,Sacatepéquez,Comida,6.8,R,Paquete Mediano
01629,Sofía Ruiz,Escuintla,Huehuetenango,Libros,7.7,R,Bolsa
01630,María Castillo,Sacatepéquez,Alta Verapaz,Electrónicos,3.6,R,Paquete Mediano
01631,Andrés López,Guatemala,Sacatepéquez,Artículos de decoración,1.6,R,Paquete Grande
01632,Javier Rodríguez,Peten,Quetzaltenango,Electrodomésticos,6.6,E,Paquete Mediano
01633,Diego Rodríguez,Peten,Izabal,Electrodomésticos,8.0,R,Sobre
01634,Diego Méndez,Quetzaltenango,Chimaltenango,Electrónicos,9.2,T,Paquete Grande
01635,Carlos Rodríguez,Guatemala,Peten,Ropa,3.6,E,Paquete Mediano
01636,Carlos López,Izabal,Quetzaltenango,Ropa,2.8,E,Sobre
01637,Carolina Ruiz,Izabal,Chimaltenango,Ropa,5.2,R,Paquete Grande
01638,Ana Rodríguez,Quetzaltenango,Suchitepéquez,Artículos de decoración,5.0,E,Paquete Mediano
01639,Andrés Hernández,Guatemala,Guatemala,Artículos de decoración,6.3,T,Bolsa
01640,Carolina Ruiz,Izabal,Huehuetenango,Artículos de decoración,5.9,T,Paquete Mediano
01641,Javier Rodríguez,Huehuetenango,Peten,Electrodomésticos,4.5,T,Bolsa
01642,Andrés Ruiz,Guatemala,Sacatepéquez,Electrodomésticos,6.8,T,Paquete Mediano
01643,María Rodríguez,Izabal,Sacatepéquez,Electrónicos,3.1,T,Sobre
01644,Javier Rodríguez,Sacatepéquez,Quetzaltenango,Electrodomésticos,7.7,R,Paquete Grande
01645,Carolina López,Sacatepéquez,Escuintla,Comida,4.3,T,Paquete Grande
01646,Juan García,Suchitepéquez,Peten,Ropa,6.3,T,Bolsa
01647,María Méndez,Escuintla,Alta Verapaz,Ropa,7.2,E,Sobre
01648,Andrés López,Guatemala,Peten,Ropa,6.2,E,Paquete Grande
01649,Carolina Hernández,Huehuetenango,Chimaltenango,Electrodomésticos,6.1,T,Paquete Mediano
01650,Carolina Rodríguez,Huehuetenango,Huehuetenango,Electrónicos,6.9,T,Sobre
01651,Carolina Castillo,Sacatepéquez,Huehuetenango,Comida,4.2,T,Paquete Mediano
01652,María González,Quetzaltenango,Suchitepéquez,Comida,2.5,E,Sobre
01653,Sofía Méndez,Guatemala,Chimaltenango,Libros,7.7,E,Paquete Grande
01654,Juan López,Guatemala,Sacatepéquez,Electrodomésticos,2.4,R,Bolsa
01655,Carolina Morales,Guatemala,Peten,Juguetes,5.3,T,Bolsa
01656,Luisa Ramírez,Escuintla,Alta Verapaz,Electrónicos,0.8,T,Bolsa
01657,Carolina López,Suchitepéquez,Huehuetenango,Comida,8.0,E,Sobre
01658,Carlos González,Suchitepéquez,Huehuetenango,Electrónicos,8.0,T,Sobre
01659,Carolina Hernández,Peten,Suchitepéquez,Electrónicos,4.2,R,Paquete Mediano
01660,Ana Ruiz,Peten,Suchitepéquez,Herramientas,0.5,E,Sobre
01661,Javier Hernández,Huehuetenango,Izabal,Libros,5.3,R,Bolsa
01662,Carlos Méndez,Chimaltenango,Guatemala,Ropa,3.3,T,Bolsa
01663,Andrés Ramírez,Peten,Sacatepéquez,Libros,6.4,T,Bolsa
01664,Carolina García,Suchitepéquez,Huehuetenango,Juguetes,0.7,E,Paquete Grande
01665,Luisa Rodríguez,Escuintla,Quetzaltenango,Herramientas,7.5,T,Bolsa
01666,Andrés Ramírez,Quetzaltenango,Huehuetenango,Artículos de decoración,8.9,T,Paquete Mediano
01667,Ana García,Chimaltenango,Quetzaltenango,Juguetes,0.3,R,Paquete Mediano
01668,Sofía Rodríguez,Chimaltenango,Suchitepéquez,Comida,7.7,T,Sobre
01669,Ana Méndez,Huehuetenango,Peten,Electrodomésticos,4.8,E,Paquete Grande
01670,Ana Morales,Sacatepéquez,Chimaltenango,Electrónicos,4.1,E,Sobre
01671,María López,Chimaltenango,Guatemala,Juguetes,1.8,T,Bolsa
01672,Ana Méndez,Guatemala,Alta Verapaz,Libros,4.4,R,Paquete Grande
01673,Diego Hernández,Alta Verapaz,Sacatepéquez,Ropa,5.1,T,Paquete Grande
01674,Juan López,Chimaltenango,Peten,Electrónicos,8.6,R,Paquete Grande
01675,Juan Morales,Alta Verapaz,Suchitepéquez,Electrodomésticos,0.2,E,Paquete Mediano
01676,María Morales,Guatemala,Alta Verapaz,Herramientas,2.9,T,Bolsa
01677,María García,Escuintla,Chimaltenango,Electrónicos,1.8,R,Sobre
01678,Andrés García,Suchitepéquez,Guatemala,Herramientas,5.4,T,Paquete Grande
01679,Luisa López,Alta Verapaz,Guatemala,Juguetes,8.0,T,Paquete Grande
01680,Ana Hernández,Quetzaltenango,Alta Verapaz,Libros,8.8,T,Bolsa
01681,María González,Chimaltenango,Alta Verapaz,Libros,4.2,T,Paquete Grande
01682,Luisa Hernández,Izabal,Izabal,Comida,6.9,T,Bolsa
01683,Sofía García,Suchitepéquez,Escuintla,Comida,2.1,E,Paquete Grande
01684,María Ruiz,Suchitepéquez,Peten,Libros,8.4,E,Sobre
01685,Carlos Méndez,Suchitepéquez,Peten,Juguetes,0.1,T,Paquete Grande
01686,Andrés Méndez,Quetzaltenango,Sacatepéquez,Electrodomésticos,3.5,E,Sobre
01687,Andrés Ruiz,Izabal,Chimaltenango,Juguetes,7.8,R,Paquete Mediano
01688,Andrés Rodríguez,Suchitepéquez,Suchitepéquez,Libros,8.8,T,Paquete Mediano
01689,Luisa Ruiz,Chimaltenango,Guatemala,Juguetes,1.6,E,Sobre
01690,Ana Ruiz,Chimaltenango,Izabal,Ropa,4.4,T,Bolsa
01691,Diego Ruiz,Chimaltenango,Sacatepéquez,Electrónicos,5.5,E,Sobre
01692,Javier Rodríguez,Huehuetenango,Suchitepéquez,Juguetes,9.7,E,Bolsa
01693,Carlos González,Huehuetenango,Izabal,Herramientas,2.2,R,Sobre
01694,Diego Morales,Peten,Guatemala,Libros,1.0,T,Bolsa
01695,Juan Castillo,Escuintla,Huehuetenango,Ropa,9.7,E,Sobre
01696,Andrés Hernández,Escuintla,Guatemala,Comida,8.2,T,Sobre
01697,Diego Ruiz,Guatemala,Guatemala,Artículos de decoración,7.9,E,Bolsa
01698,Sofía Rodríguez,Guatemala,Izabal,Artículos de decoración,3.1,T,Paquete Grande
01699,Ana Castillo,Izabal,Chimaltenango,Comida,0.9,E,Sobre
01700,Diego García,Huehuetenango,Chimaltenango,Juguetes,6.3,R,Sobre
01701,Juan Méndez,Guatemala,Chimaltenango,Electrónicos,9.5,R,Paquete Grande
01702,Carlos Ramírez,Quetzaltenango,Suchitepéquez,Electrodomésticos,7.0,R,Paquete Grande
01703,Andrés Ruiz,Sacatepéquez,Huehuetenango,Comida,9.1,E,Paquete Mediano
01704,María Ramírez,Escuintla,Huehuetenango,Herramientas,0.0,E,Paquete Mediano
01705,Carlos Ramírez,Chimaltenango,Alta Verapaz,Libros,7.9,E,Bolsa
01706,Andrés Castillo,Peten,Peten,Ropa,6.6,T,Paquete Grande
01707,Sofía Ramírez,Quetzaltenango,Quetzaltenango,Herramientas,0.7,T,Paquete Grande
01708,Andrés Hernández,Guatemala,Quetzaltenango,Artículos de decoración,2.0,E,Paquete Mediano
01709,Carlos Méndez,Huehuetenango,Quetzaltenango,Comida,2.5,R,Sobre
01710,Carolina Rodríguez,Chimaltenango,Suchitepéquez,Herramientas,7.0,T,Bolsa
01711,Diego García,Chimaltenango,Izabal,Electrónicos,7.8,E,Sobre
01712,Ana Morales,Guatemala,Huehuetenango,Ropa,6.3,T,Paquete Grande
01713,Andrés Rodríguez,Suchitepéquez,Izabal,Comida,0.6,E,Bolsa
01714,Javier Hernández,Alta Verapaz,Escuintla,Juguetes,0.3,E,Paquete Mediano
01715,Andrés Méndez,Huehuetenango,Suchitepéquez,Libros,9.2,T,Paquete Mediano
01716,Andrés Rodríguez,Sacatepéquez,Quetzaltenango,Ropa,5.0,E,Paquete Mediano
01717,Carolina González,Escuintla,Izabal,Electrodomésticos,1.3,E,Bolsa
01718,Carolina González,Alta Verapaz,Suchitepéquez,Electrodomésticos,4.0,R,Sobre
01719,Diego Ramírez,Alta Verapaz,Izabal,Artículos de decoración,5.0,E,Sobre
01720,Carolina Morales,Huehuetenango,Chimaltenango,Electrodomésticos,8.8,R,Sobre
01721,Juan Ruiz,Sacatepéquez,Izabal,Herramientas,9.8,R,Paquete Mediano
01722,Ana Hernández,Alta Verapaz,Alta Verapaz,Electrónicos,2.0,R,Bolsa
01723,Juan Hernández,Chimaltenango,Izabal,Comida,2.8,T,Bolsa
01724,Javier Ruiz,Escuintla,Huehuetenango,Libros,8.2,R,Paquete Grande
01725,Juan Hernández,Suchitepéquez,Chimaltenango,Juguetes,5.9,E,Paquete Grande
01726,María López,Sacatepéquez,Huehuetenango,Ropa,8.0,R,Paquete Grande
01727,Carlos Castillo,Sacatepéquez,Chimaltenango,Electrodomésticos,7.2,R,Bolsa
01728,Luisa Rodríguez,Peten,Alta Verapaz,Electrónicos,9.3,E,Paquete Mediano
01729,Andrés Castillo,Quetzaltenango,Alta Verapaz,Electrónicos,4.1,E,Bolsa
01730,Carolina Morales,Suchitepéquez,Sacatepéquez,Ropa,1.8,T,Paquete Mediano
01731,Sofía Ruiz,Chimaltenango,Suchitepéquez,Libros,0.7,R,Sobre
01732,Luisa García,Sacatepéquez,Peten,Electrodomésticos,9.8,T,Paquete Mediano
01733,Luisa Hernández,Guatemala,Izabal,Electrónicos,6.3,T,Sobre
01734,Javier Ruiz,Peten,Escuintla,Electrodomésticos,7.1,R,Bolsa
01735,Carlos García,Guatemala,Guatemala,Artículos de decoración,8.6,T,Bolsa
01736,Carlos Hernández,Alta Verapaz,Suchitepéquez,Electrodomésticos,9.9,E,Bolsa
01737,Carolina Rodríguez,Suchitepéquez,Suchitepéquez,Herramientas,7.5,T,Paquete Grande
01738,Ana Hernández,Chimaltenango,Sacatepéquez,Libros,2.9,E,Sobre
01739,Diego González,Izabal,Alta Verapaz,Libros,4.8,T,Bolsa
01740,Ana Castillo,Alta Verapaz,Peten,Libros,3.3,T,Sobre
01741,Carlos Morales,Suchitepéquez,Huehuetenango,Herramientas,3.2,E,Bolsa
01742,Javier Rodríguez,Escuintla,Suchitepéquez,Ropa,7.0,E,Paquete Mediano
01743,Carolina Ramírez,Alta Verapaz,Guatemala,Electrónicos,1.5,T,Sobre
01744,Carlos Ramírez,Quetzaltenango,Escuintla,Libros,3.1,R,Bolsa
01745,María López,Escuintla,Huehuetenango,Ropa,9.8,R,Paquete Grande
01746,Ana Ramírez,Chimaltenango,Sacatepéquez,Ropa,1.5,T,Paquete Mediano
01747,Sofía Ruiz,Chimaltenango,Quetzaltenango,Juguetes,0.3,R,Sobre
01748,María Rodríguez,Huehuetenango,Guatemala,Libros,8.0,E,Sobre
01749,Juan García,Guatemala,Alta Verapaz,Ropa,7.8,T,Paquete Mediano
01750,Juan García,Quetzaltenango,Huehuetenango,Ropa,1.9,T,Paquete Grande
01751,Andrés Hernández,Guatemala,Chimaltenango,Comida,6.6,T,Paquete Mediano
01752,Luisa Méndez,Sacatepéquez,Escuintla,Artículos de decoración,2.5,T,Sobre
01753,Sofía López,Guatemala,Chimaltenango,Electrodomésticos,6.6,T,Sobre
01754,Diego Méndez,Huehuetenango,Peten,Electrodomésticos,7.3,T,Paquete Mediano
01755,Sofía Ruiz,Alta Verapaz,Guatemala,Electrodomésticos,5.9,E,Sobre
01756,Luisa Rodríguez,Guatemala,Peten,Juguetes,9.1,R,Paquete Mediano
01757,Carlos Hernández,Suchitepéquez,Chimaltenango,Electrodomésticos,2.6,R,Paquete Mediano
01758,Luisa López,Escuintla,Peten,Ropa,4.6,E,Sobre
01759,Ana Castillo,Izabal,Guatemala,Libros,3.1,E,Bolsa
01760,Sofía Rodríguez,Chimaltenango,Huehuetenango,Ropa,2.7,T,Bolsa
01761,Ana Méndez,Sacatepéquez,Quetzaltenango,Ropa,9.6,E,Paquete Mediano
01762,Carlos Méndez,Izabal,Izabal,Electrónicos,3.9,E,Bolsa
01763,Juan González,Quetzaltenango,Alta Verapaz,Comida,4.0,R,Sobre
01764,Carolina López,Peten,Quetzaltenango,Libros,8.3,T,Bolsa
01765,María Ramírez,Escuintla,Escuintla,Artículos de decoración,1.4,T,Paquete Grande
01766,Carolina López,Izabal,Sacatepéquez,Ropa,7.0,E,Sobre
01767,Diego Ruiz,Suchitepéquez,Huehuetenango,Artículos de decoración,9.4,R,Paquete Grande
01768,Javier García,Huehuetenango,Izabal,Juguetes,0.1,R,Paquete Mediano
01769,Javier García,Quetzaltenango,Sacatepéquez,Libros,7.3,T,Paquete Grande
01770,Ana Méndez,Chimaltenango,Quetzaltenango,Juguetes,8.7,E,Paquete Mediano
01771,Carlos Ramírez,Sacatepéquez,Suchitepéquez,Artículos de decoración,1.4,T,Bolsa
01772,Ana Méndez,Escuintla,Sacatepéquez,Electrodomésticos,4.1,R,Sobre
01773,María Ruiz,Suchitepéquez,Suchitepéquez,Electrodomésticos,9.8,T,Paquete Mediano
01774,Carolina Castillo,Peten,Peten,Ropa,10.0,R,Sobre
01775,Andrés Ruiz,Izabal,Sacatepéquez,Ropa,3.0,R,Paquete Mediano
01776,Ana Méndez,Guatemala,Escuintla,Herramientas,2.6,T,Bolsa
01777,Luisa Méndez,Suchitepéquez,Huehuetenango,Comida,4.9,E,Paquete Mediano
01778,Diego Morales,Huehuetenango,Quetzaltenango,Electrónicos,3.9,E,Paquete Mediano
01779,Diego González,Sacatepéquez,Izabal,Libros,9.1,E,Sobre
01780,Luisa Castillo,Escuintla,Sacatepéquez,Juguetes,1.7,E,Paquete Grande
01781,María López,Peten,Huehuetenango,Comida,5.3,R,Paquete Grande
01782,Carolina González,Peten,Sacatepéquez,Electrónicos,4.1,T,Paquete Mediano
01783,Luisa López,Alta Verapaz,Suchitepéquez,Libros,1.1,T,Bolsa
01784,Andrés Ruiz,Peten,Chimaltenango,Juguetes,0.5,E,Sobre
01785,María Castillo,Suchitepéquez,Sacatepéquez,Electrodomésticos,5.0,R,Sobre
01786,Juan Castillo,Sacatepéquez,Suchitepéquez,Ropa,6.1,T,Paquete Grande
01787,Diego Hernández,Suchitepéquez,Peten,Comida,3.1,R,Paquete Grande
01788,Diego Morales,Sacatepéquez,Suchitepéquez,Artículos de decoración,3.8,E,Bolsa
01789,Javier Morales,Sacatepéquez,Guatemala,Comida,7.8,T,Bolsa
01790,Ana González,Quetzaltenango,Huehuetenango,Artículos de decoración,10.0,T,Sobre
01791,Ana Ramírez,Guatemala,Escuintla,Libros,0.9,R,Bolsa
01792,Juan Ramírez,Escuintla,Chimaltenango,Libros,6.5,T,Paquete Grande
01793,Sofía Rodríguez,Huehuetenango,Izabal,Artículos de decoración,7.3,E,Sobre
01794,Juan Ruiz,Sacatepéquez,Huehuetenango,Artículos de decoración,7.1,T,Bolsa
01795,Carolina López,Peten,Sacatepéquez,Comida,4.1,T,Paquete Grande
01796,Luisa Ruiz,Guatemala,Suchitepéquez,Libros,0.7,E,Paquete Grande
01797,Juan González,Guatemala,Sacatepéquez,Ropa,9.8,T,Paquete Grande
01798,Carlos Ruiz,Peten,Suchitepéquez,Ropa,8.1,E,Sobre
01799,Javier Ruiz,Sacatepéquez,Peten,Electrónicos,9.6,T,Paquete Mediano
01800,Diego Morales,Alta Verapaz,Escuintla,Juguetes,5.9,E,Paquete Grande
01801,Juan Ramírez,Escuintla,Chimaltenango,Electrodomésticos,9.7,E,Paquete Grande
01802,Javier Ramírez,Escuintla,Alta Verapaz,Comida,4.0,T,Bolsa
01803,María López,Sacatepéquez,Chimaltenango,Comida,8.5,R,Paquete Mediano
01804,Sofía Ramírez,Alta Verapaz,Chimaltenango,Artículos de decoración,0.5,E,Paquete Grande
01805,Carolina Hernández,Guatemala,Huehuetenango,Ropa,7.0,R,Sobre
01806,Carlos Hernández,Peten,Chimaltenango,Ropa,9.6,R,Paquete Grande
01807,Andrés Ruiz,Guatemala,Chimaltenango,Juguetes,5.1,E,Paquete Mediano
01808,Luisa García,Peten,Escuintla,Artículos de decoración,7.2,T,Sobre
01809,Ana Morales,Guatemala,Alta Verapaz,Artículos de decoración,8.1,R,Sobre
01810,Andrés Morales,Peten,Chimaltenango,Ropa,9.6,T,Sobre
01811,Javier Méndez,Escuintla,Chimaltenango,Juguetes,8.4,R,Sobre
01812,Luisa Ramírez,Izabal,Huehuetenango,Comida,9.7,R,Sobre
01813,Diego Morales,Izabal,Quetzaltenango,Electrónicos,8.1,E,Paquete Mediano
01814,Carolina González,Huehuetenango,Alta Verapaz,Juguetes,6.6,R,Bolsa
01815,Luisa Morales,Suchitepéquez,Quetzaltenango,Juguetes,6.2,T,Sobre
01816,Javier Morales,Peten,Suchitepéquez,Comida,2.5,R,Sobre
01817,Diego Ruiz,Guatemala,Chimaltenango,Herramientas,6.7,E,Sobre
01818,Javier Morales,Chimaltenango,Huehuetenango,Herramientas,2.6,T,Paquete Grande
01819,María Ramírez,Alta Verapaz,Quetzaltenango,Libros,1.8,E,Sobre
01820,Luisa Méndez,Huehuetenango,Izabal,Herramientas,3.2,R,Bolsa
01821,Sofía Morales,Izabal,Sacatepéquez,Electrodomésticos,5.5,E,Paquete Mediano
01822,Diego García,Quetzaltenango,Escuintla,Juguetes,2.1,R,Paquete Grande
01823,Andrés Ruiz,Chimaltenango,Sacatepéquez,Juguetes,2.8,R,Paquete Grande
01824,Juan Ramírez,Alta Verapaz,Peten,Artículos de decoración,7.2,R,Bolsa
01825,Juan López,Chimaltenango,Izabal,Libros,8.6,T,Sobre
01826,María López,Guatemala,Peten,Juguetes,8.1,R,Bolsa
01827,Carolina Hernández,Chimaltenango,Alta Verapaz,Juguetes,2.9,R,Sobre
01828,María González,Escuintla,Huehuetenango,Libros,4.9,R,Paquete Mediano
01829,Andrés López,Escuintla,Chimaltenango,Comida,5.5,T,Bolsa
01830,Javier García,Chimaltenango,Quetzaltenango,Ropa,0.6,T,Bolsa
01831,Diego Méndez,Peten,Izabal,Juguetes,6.2,R,Paquete Grande
01832,Andrés Castillo,Quetzaltenango,Suchitepéquez,Comida,1.1,T,Paquete Grande
01833,Carolina López,Izabal,Chimaltenango,Herramientas,6.0,E,Sobre
01834,Ana González,Guatemala,Guatemala,Electrónicos,7.6,E,Sobre
01835,Carlos Morales,Escuintla,Huehuetenango,Comida,2.9,E,Paquete Grande
01836,Carlos Ruiz,Peten,Escuintla,Comida,7.7,T,Paquete Mediano
01837,Luisa Ruiz,Guatemala,Quetzaltenango,Electrónicos,8.5,T,Paquete Mediano
01838,Javier Ruiz,Suchitepéquez,Izabal,Libros,8.5,R,Sobre
01839,María Rodríguez,Guatemala,Quetzaltenango,Ropa,9.6,E,Sobre
01840,Luisa Hernández,Alta Verapaz,Sacatepéquez,Ropa,8.0,R,Sobre
01841,Ana González,Sacatepéquez,Izabal,Juguetes,0.2,R,Bolsa
01842,Ana López,Peten,Huehuetenango,Juguetes,9.8,T,Paquete Mediano
01843,María Morales,Guatemala,Peten,Artículos de decoración,9.7,R,Sobre
01844,Sofía López,Escuintla,Guatemala,Artículos de decoración,4.2,E,Paquete Grande
01845,Juan Ramírez,Escuintla,Huehuetenango,Juguetes,9.7,R,Bolsa
01846,Diego González,Peten,Sacatepéquez,Herramientas,4.0,T,Paquete Grande
01847,Juan Méndez,Huehuetenango,Guatemala,Juguetes,8.2,E,Bolsa
01848,María Rodríguez,Suchitepéquez,Peten,Artículos de decoración,6.7,T,Paquete Mediano
01849,Carlos Méndez,Alta Verapaz,Quetzaltenango,Libros,2.5,E,Paquete Mediano
01850,Carolina González,Chimaltenango,Guatemala,Electrodomésticos,0.3,R,Paquete Mediano
01851,Sofía Méndez,Sacatepéquez,Escuintla,Libros,8.3,T,Paquete Grande
01852,Andrés Ruiz,Guatemala,Peten,Electrónicos,6.7,T,Paquete Mediano
01853,María Rodríguez,Alta Verapaz,Guatemala,Juguetes,8.9,R,Sobre
01854,Andrés López,Sacatepéquez,Guatemala,Herramientas,8.0,T,Bolsa
01855,Ana Morales,Escuintla,Huehuetenango,Herramientas,9.9,E,Bolsa
01856,Andrés Ramírez,Escuintla,Guatemala,Electrodomésticos,0.6,E,Paquete Grande
01857,Sofía Méndez,Huehuetenango,Escuintla,Herramientas,4.1,R,Paquete Mediano
01858,Carlos García,Guatemala,Quetzaltenango,Ropa,2.5,E,Sobre
01859,Carlos Hernández,Peten,Quetzaltenango,Libros,1.7,R,Paquete Mediano
01860,María Castillo,Quetzaltenango,Quetzaltenango,Artículos de decoración,7.5,T,Paquete Mediano
01861,María Castillo,Sacatepéquez,Quetzaltenango,Artículos de decoración,1.1,E,Sobre
01862,Andrés Morales,Chimaltenango,Huehuetenango,Herramientas,3.8,R,Paquete Mediano
01863,Javier Ramírez,Peten,Alta Verapaz,Ropa,5.0,R,Bolsa
01864,Diego García,Guatemala,Sacatepéquez,Herramientas,8.6,E,Paquete Grande
01865,Ana Rodríguez,Escuintla,Sacatepéquez,Comida,6.3,E,Paquete Mediano
01866,María Ramírez,Guatemala,Alta Verapaz,Ropa,7.4,R,Bolsa
01867,Carlos López,Quetzaltenango,Escuintla,Artículos de decoración,0.4,E,Sobre
01868,Carolina Morales,Izabal,Izabal,Juguetes,9.6,E,Paquete Mediano
01869,Diego López,Huehuetenango,Chimaltenango,Juguetes,6.9,T,Paquete Mediano
01870,Ana Rodríguez,Huehuetenango,Chimaltenango,Electrónicos,7.9,E,Paquete Grande
01871,Carlos Ruiz,Escuintla,Peten,Artículos de decoración,6.9,E,Bolsa
01872,Carolina Rodríguez,Izabal,Chimaltenango,Ropa,5.2,E,Bolsa
01873,Luisa López,Izabal,Chimaltenango,Electrodomésticos,1.3,E,Paquete Mediano
01874,María Rodríguez,Suchitepéquez,Chimaltenango,Electrónicos,4.5,R,Paquete Mediano
01875,Carolina Morales,Quetzaltenango,Peten,Comida,3.4,E,Paquete Grande
01876,Javier López,Izabal,Guatemala,Comida,6.5,E,Paquete Mediano
01877,Andrés Ruiz,Escuintla,Escuintla,Ropa,2.4,E,Sobre
01878,María Morales,Chimaltenango,Guatemala,Libros,10.0,E,Sobre
01879,Juan Rodríguez,Quetzaltenango,Quetzaltenango,Electrodomésticos,2.5,T,Paquete Mediano
01880,Andrés García,Alta Verapaz,Sacatepéquez,Electrodomésticos,0.5,R,Sobre
01881,Carolina Ramírez,Chimaltenango,Izabal,Ropa,2.1,R,Paquete Mediano
